elapsed time,value,value2
0.010175525,0,5356
0.029893228,0,5356
0.049785753,0,5356
0.074339138,0,5356
0.093901761,0,5356
0.114154173,0,5356
0.138426731,0,5356
0.158098554,0,5356
0.178071838,0,5356
0.202639625,0,5356
0.222253975,0,5356
0.242338343,-1,5356
0.26666662,1,5356
0.286390364,0,5356
0.306511248,0,5356
0.330910024,0,5356
0.350659083,0,5356
0.370644499,-1,5356
0.395125585,0,5356
0.414799667,0,5356
0.434806999,0,5356
0.460872775,0,5356
0.478792852,-1,5356
0.498958215,0,5356
0.523361068,0,5356
0.543071149,0,5356
0.564896019,0,5356
0.587563245,0,5356
0.60766958,0,5356
0.627148893,1,5356
0.651782669,-1,5356
0.671810412,0,5356
0.691298808,0,5356
0.715680144,0,5356
0.735441852,0,5356
0.755503991,0,5356
0.77991511,0,5356
0.799595114,0,5356
0.819589411,1,5356
0.844112019,1,5356
0.863858901,2,5356
0.883710685,2,5356
0.908290453,2,5356
0.927973945,3,5356
0.947888523,3,5356
0.972405505,3,5356
0.991948148,1,5356
1.012157834,3,5356
1.036589599,3,5356
1.056193346,2,5356
1.076208838,3,5356
1.10077482,3,5356
1.120305927,4,5356
1.140322502,1,5356
1.164895529,3,5356
1.184634703,2,5356
1.204662559,3,5356
1.229080191,3,5356
1.248651225,2,5356
1.268730807,2,5356
1.293101139,2,5356
1.312691398,1,5356
1.332920223,2,5356
1.357291329,2,5356
1.377036876,1,5356
1.397067673,2,5356
1.421367759,0,5356
1.441060855,2,5356
1.461118074,2,5356
1.485795033,2,5356
1.505217267,2,5356
1.525278525,0,5356
1.549800093,0,5356
1.569326549,2,5356
1.589463719,2,5356
1.613864082,2,5356
1.633496439,0,5356
1.653556159,2,5356
1.678010114,0,5356
1.697667662,3,5356
1.742182447,2,5356
1.761770821,2,5356
1.781840342,2,5356
1.8062632,1,5356
1.825931107,2,5356
1.845963174,4,5356
1.870504879,4,5356
1.890202421,2,5356
1.910230746,3,5356
1.934649471,1,5356
1.954239709,2,5356
1.974307338,2,5356
1.998785074,2,5356
2.018394688,2,5356
2.038409673,0,5356
2.062923651,1,5356
2.082535753,3,5355
2.10263696,2,5355
2.12702537,2,5355
2.146668632,4,5355
2.166770154,2,5355
2.191168333,4,5355
2.210944441,3,5355
2.230933313,3,5355
2.25530323,3,5355
2.274949053,4,5355
2.29500417,5,5355
2.319495829,3,5355
2.339101698,9,5354
2.359134832,9,5354
2.383681832,9,5354
2.403272539,7,5354
2.423286359,10,5353
2.447751898,9,5353
2.467386116,8,5353
2.48747062,12,5353
2.511908758,12,5353
2.531556249,13,5352
2.551595357,12,5352
2.576038454,15,5352
2.595647652,15,5352
2.615817681,17,5351
2.640167214,17,5351
2.659845307,17,5351
2.679920309,17,5351
2.704372154,19,5351
2.724031818,19,5350
2.744060413,20,5350
2.769804966,20,5350
2.788232393,22,5350
2.808193362,19,5350
2.832654761,20,5350
2.85229838,21,5349
2.872300186,21,5349
2.896817884,21,5349
2.91641348,24,5349
2.936532473,23,5349
2.960903801,21,5349
2.980769421,25,5348
3.000714389,24,5348
3.025141646,24,5348
3.044800014,26,5348
3.064889342,26,5348
3.089263356,25,5348
3.108938452,28,5347
3.128931258,29,5347
3.153406886,29,5347
3.173152096,29,5347
3.193155621,28,5347
3.217542117,29,5347
3.23717396,30,5346
3.257232602,32,5346
3.281780519,32,5346
3.301352927,32,5346
3.321469902,32,5346
3.345925857,32,5345
3.365680736,34,5345
3.385546534,37,5345
3.410040658,37,5345
3.429698748,34,5345
3.449721621,35,5344
3.474176163,35,5344
3.493830009,38,5344
3.513892195,38,5344
3.538327334,38,5344
3.558016819,39,5343
3.578024069,41,5343
3.602590175,39,5343
3.622126721,40,5343
3.642213039,42,5343
3.666700244,42,5343
3.706286411,42,5342
3.730823258,41,5342
3.750388089,43,5342
3.77052161,44,5342
3.795059026,44,5342
3.814605354,44,5341
3.834619196,45,5341
3.859100462,44,5341
3.878738114,48,5341
3.89878589,48,5340
3.923767921,48,5340
3.942848164,47,5340
3.962895329,47,5340
3.9873982,49,5340
4.007000289,51,5340
4.027064671,52,5339
4.05156419,52,5339
4.07120408,52,5339
4.091207639,51,5338
4.115710146,52,5339
4.135312444,52,5338
4.155386377,55,5338
4.1799616,55,5338
4.199547803,55,5338
4.2195157,55,5337
4.244018857,56,5337
4.26365893,56,5337
4.283710417,57,5337
4.308177465,57,5337
4.327849067,56,5337
4.347909361,56,5337
4.3724145,57,5336
4.391984541,59,5336
4.412044869,60,5336
4.43652297,60,5336
4.456088224,60,5336
4.476167762,60,5336
4.500646587,61,5336
4.520335801,61,5336
4.540418629,61,5335
4.564800014,61,5335
4.584442552,61,5335
4.604546779,62,5335
4.628991226,63,5335
4.648575904,64,5335
4.668610444,63,5334
4.693166769,63,5334
4.712704732,63,5334
4.732836709,65,5334
4.757193888,64,5334
4.776926771,66,5333
4.796986692,67,5333
4.821422456,67,5333
4.841056682,68,5333
4.861102607,68,5333
4.885499228,65,5333
4.90516936,68,5332
4.925228309,68,5332
4.949676115,68,5332
4.969357636,71,5331
4.989366114,71,5331
5.013839425,72,5331
5.033581399,75,5331
5.053512075,72,5331
5.079791364,72,5331
5.097713813,73,5330
5.117728289,73,5330
5.14215937,74,5330
5.161825381,76,5330
5.181837222,76,5330
5.206308547,76,5330
5.225916841,78,5329
5.24594525,76,5329
5.270457552,77,5329
5.290081874,77,5329
5.310163414,79,5329
5.334625309,79,5329
5.354233076,79,5328
5.374294348,81,5328
5.398787706,80,5328
5.418330578,80,5328
5.438400736,79,5328
5.462859344,79,5328
5.482541329,82,5327
5.5025314,82,5327
5.527111411,82,5327
5.546736748,82,5327
5.566789554,82,5327
5.591165673,82,5327
5.610791128,85,5326
5.630835772,84,5326
5.655286458,85,5326
5.674975749,86,5326
5.695030552,85,5326
5.719479787,85,5326
5.739080384,86,5326
5.759112641,85,5326
5.78362512,88,5325
5.80320395,87,5325
5.823274553,91,5324
5.847765371,91,5324
5.867377617,90,5324
5.88743482,88,5324
5.911871909,90,5324
5.931549962,89,5324
5.951553363,92,5324
5.976013529,92,5324
5.995721719,92,5324
6.015795822,92,5324
6.040183917,91,5324
6.059834369,92,5324
6.079902679,93,5323
6.104369776,93,5323
6.124026403,93,5323
6.144066313,93,5323
6.168507195,92,5323
6.188124915,91,5323
6.208243591,79,5327
6.233808589,79,5327
6.25229773,74,5328
6.272366145,75,5328
6.296854317,75,5328
6.316776283,76,5328
6.336528032,76,5328
6.36102656,76,5328
6.380666086,75,5328
6.400664261,77,5327
6.425155973,76,5327
6.445786045,78,5327
6.464866641,81,5326
6.489239022,81,5326
6.508953489,78,5326
6.528985244,80,5326
6.553478377,77,5326
6.573095391,82,5326
6.593209559,78,5326
6.61757141,78,5326
6.63719091,78,5326
6.657223573,82,5326
6.681788333,80,5326
6.701398909,80,5325
6.72137696,81,5325
6.745876102,81,5325
6.765529307,80,5326
6.785627699,79,5325
6.810040866,81,5325
6.829731665,81,5325
6.84970166,84,5325
6.874211102,84,5325
6.893896182,81,5325
6.913894556,83,5324
6.938343604,83,5325
6.958026658,82,5324
6.97805282,83,5324
7.002461709,83,5324
7.022145374,83,5324
7.042280025,84,5324
7.066668049,83,5324
7.086226651,85,5324
7.106258349,82,5324
7.13075074,82,5324
