elapsed time,value,value2,value3
0,0,0,0
0.000763049,0,0,0
0.010852216,0,0,0
0.020754001,0,0,0
0.030921314,0,0,0
0.040855698,0,0,0
0.050877542,0,0,0
0.060941952,0,0,0
0.070943764,0,0,0
0.080787282,0,0,0
0.090817563,0,0,0
0.100869587,0,0,0
0.110865517,0,0,0
0.120804199,0,0,0
0.130895023,0,0,0
0.140821712,0,0,0
0.150919288,0,0,0
0.160864181,0,0,0
0.170853927,0,0,0
0.180796273,0,0,0
0.190886646,0,0,0
0.200876549,0,0,0
0.210871727,0,0,0
0.220803159,0,0,0
0.230819167,0,0,0
0.240854143,0,0,0
0.250843613,0,0,0
0.260773913,0,0,0
0.270784951,0,0,0
0.28077345,0,0,0
0.290777164,0,0,0
0.300920248,0,0,0
0.310807938,0,0,0
0.320888876,0,0,0
0.330895682,0,0,0
0.340866513,0,0,0
0.35100383,0,0,0
0.360791353,0,0,0
0.370796346,0,0,0
0.380881607,0,0,0
0.390864162,0,0,0
0.400803814,0,0,0
0.411006957,0,0,0
0.420793947,0,0,0
0.430873605,0,0,0
0.440891592,0,0,0
0.450925119,0,0,0
0.460806919,0,0,0
0.470817713,0,0,0
0.480794552,0,0,0
0.490833999,0,0,0
0.501083389,0,0,0
0.51093557,0,0,0
0.52080592,0,0,0
0.530905422,0,0,0
0.541133955,0,0,0
0.55114453,0,0,0
0.560911967,0,0,0
0.570920814,0,0,0
0.580929421,0,0,0
0.590931894,0,0,0
0.600925668,0,0,0
0.610816518,0,0,0
0.620857671,0,0,0
0.630896899,0,0,0
0.640990144,0,0,0
0.65095651,0,0,0
0.660790723,0,0,0
0.670799044,0,0,0
0.680901769,0,0,0
0.69081396,0,0,0
0.700846744,0,0,0
0.71080865,0,0,0
0.720781739,0,0,0
0.730799723,0,0,0
0.740756693,0,0,0
0.751041683,0,0,0
0.760763711,0,0,0
0.770827043,0,0,0
0.780761984,0,1,1
0.790787157,0,1,1
0.800848304,0,1,1
0.810874824,0,1,1
0.820771166,0,1,1
0.830856177,6,12,12
0.840909129,6,12,12
0.850785069,11,21,21
0.860792083,11,21,21
0.870848315,11,21,21
0.88078753,46,86,86
0.890780243,46,86,86
0.900811264,105,194,194
0.910789692,105,194,194
0.920776012,137,254,254
0.930854275,137,254,254
0.940796853,137,254,254
0.950850127,154,284,284
0.96086352,154,284,284
0.970979286,158,292,292
0.980863359,158,292,292
0.990775863,158,292,292
1.000794874,158,292,292
1.010807042,158,292,292
1.020794598,159,295,295
1.030787617,159,295,295
1.040904771,158,292,292
1.05102757,158,292,292
1.061029006,158,292,292
1.07094626,159,295,295
1.080860903,159,295,295
1.090788341,159,295,295
1.100815665,159,295,295
1.11085286,159,295,295
1.120781372,161,297,297
1.130954853,161,297,297
1.140852302,161,297,297
1.150865435,161,297,297
1.16084175,161,297,297
1.170816488,161,297,297
1.180881054,161,297,297
1.190770224,159,295,295
1.200791583,159,295,295
1.210859011,155,286,286
1.220798661,155,286,286
1.230823549,155,286,286
1.240887071,153,283,283
1.250904948,153,283,283
1.260824506,148,274,274
1.270862379,148,274,274
1.280889454,130,240,240
1.290761142,130,240,240
1.300775561,130,240,240
1.310857683,81,151,151
1.320872954,81,151,151
1.33092733,23,43,43
1.340861493,23,43,43
1.350787249,0,0,0
1.360940641,0,0,0
1.370901718,0,0,0
1.380928714,0,0,0
1.390787575,0,0,0
1.400984748,0,0,0
1.410813625,0,0,0
1.420817426,0,0,0
1.430889169,0,0,0
1.440929689,0,0,0
1.450867169,0,0,0
1.460926959,0,0,0
1.470843712,0,0,0
1.480883477,0,0,0
1.490792609,0,0,0
1.500785601,0,0,0
1.510787375,0,0,0
1.52075907,0,0,0
1.530791862,0,0,0
1.540863931,0,0,0
1.550785477,0,0,0
1.560766091,0,0,0
1.570815751,0,0,0
1.580813705,0,0,0
1.590834167,0,0,0
1.600768746,0,0,0
1.610922673,0,0,0
1.620799237,0,0,0
1.630805588,0,0,0
1.640787056,0,0,0
1.65079117,0,0,0
1.660792699,0,0,0
1.670801873,0,0,0
1.680785761,0,0,0
1.69077357,0,0,0
1.700791083,0,0,0
1.710817202,0,0,0
1.72078451,0,0,0
1.730812559,0,0,0
1.740915036,0,0,0
1.750899763,0,0,0
1.76084167,0,0,0
1.770864393,0,0,0
1.780876319,0,0,0
1.790772861,0,0,0
1.800844606,0,0,0
1.810932246,0,0,0
1.820788185,0,0,0
1.830790374,0,0,0
1.84076405,0,0,0
1.850789825,0,0,0
1.86081046,0,0,0
1.870797949,0,0,0
1.880788908,0,1,1
1.890813867,0,1,1
1.900875294,0,1,1
1.910867522,0,1,1
1.92086231,0,1,1
1.930812902,0,1,1
1.940810273,0,1,1
1.950848134,1,3,3
1.960801045,1,3,3
1.970790487,1,3,3
1.980800932,4,8,8
1.990824241,4,8,8
2.000878947,4,8,8
2.010798435,4,8,8
2.020796279,4,8,8
2.030803246,6,12,12
2.040829986,6,12,12
2.050828116,15,28,28
2.060775764,15,28,28
2.070810078,37,68,68
2.080806985,37,68,68
2.090799187,37,68,68
2.100828439,52,96,96
2.110799887,52,96,96
2.120801047,53,99,99
2.130800793,53,99,99
2.140786364,53,99,99
2.150796036,55,103,103
2.16080141,55,103,103
2.170798569,56,104,104
2.18082401,56,104,104
2.190782398,58,108,108
2.200802108,58,108,108
2.210898223,58,108,108
2.220810644,59,109,109
2.230917223,59,109,109
2.240793717,62,115,115
2.250799195,62,115,115
2.260749169,62,115,115
2.270801915,67,124,124
2.280781452,67,124,124
2.290799107,87,160,160
2.300809756,87,160,160
2.310819151,108,200,200
2.32080178,108,200,200
2.330797651,108,200,200
2.340824946,122,225,225
2.350787526,122,225,225
2.360786753,124,230,230
2.370789457,124,230,230
2.380784421,124,230,230
2.390851819,126,232,232
2.400825981,126,232,232
2.41078868,126,234,234
2.420805744,126,234,234
2.430796166,131,243,243
2.440779998,131,243,243
2.450783838,131,243,243
2.460792072,152,280,280
2.470788156,152,280,280
2.480797702,167,309,309
2.490806825,167,309,309
2.500821617,167,309,309
2.510759656,171,316,316
2.520812442,171,316,316
2.530773015,171,316,316
2.540785709,171,316,316
2.550790803,172,319,319
2.560773389,172,319,319
2.570787457,172,319,319
2.580792572,172,319,319
2.590802987,172,319,319
2.600772707,172,319,319
2.610784352,172,319,319
2.620703757,172,319,319
2.630793154,172,319,319
2.640785787,172,319,319
2.650789473,174,321,321
2.66079465,174,321,321
2.670801469,174,321,321
2.68073987,174,321,321
2.690811095,174,321,321
2.70080247,172,319,319
2.710784821,172,319,319
2.720748087,174,321,321
2.730795593,174,321,321
2.740764336,174,321,321
2.750774949,174,321,321
2.760807354,174,321,321
2.770788731,174,321,321
2.780792869,174,321,321
2.790780796,174,321,321
2.800775412,174,321,321
2.810780338,174,321,321
2.820814136,174,321,321
2.830807277,174,321,321
2.840811877,174,321,321
2.850791118,174,321,321
2.860842408,174,321,321
2.870784255,174,321,321
2.880809153,174,321,321
2.890796331,174,321,321
2.900798957,174,321,321
2.910794158,174,321,321
2.920782881,174,321,321
2.930809479,174,321,321
2.940798619,174,322,322
2.950788794,174,322,322
2.960783359,174,321,321
2.970786994,174,321,321
2.980762018,174,322,322
2.99080444,174,322,322
3.000767009,174,322,322
3.010807614,174,321,321
3.020779146,174,321,321
3.030807295,174,321,321
3.0407884,174,321,321
3.050802061,174,321,321
3.060800411,172,319,319
3.070798701,172,319,319
3.080789128,172,319,319
3.090807066,172,319,319
3.10078189,172,319,319
3.110802165,172,319,319
3.120797189,172,319,319
3.130793443,171,316,316
3.140779612,171,316,316
3.150775853,171,316,316
3.160773446,171,316,316
3.170789453,171,316,316
3.180786187,171,316,316
3.190799648,171,316,316
3.20077158,170,314,314
3.210776754,170,314,314
3.220825799,170,314,314
3.230792182,170,314,314
3.240777154,170,314,314
3.250789605,170,314,314
3.260748433,170,314,314
3.270762059,170,314,314
3.280782775,170,314,314
3.290785873,170,314,314
3.300812181,170,314,314
3.310754504,170,314,314
3.32075094,170,314,314
3.330787375,170,314,314
3.340812878,170,314,314
3.350778959,170,314,314
3.360804795,170,314,314
3.370776492,170,314,314
3.380745099,170,314,314
3.390759664,170,314,314
3.400774181,170,314,314
3.410787803,170,314,314
3.420774774,170,314,314
3.430780481,170,314,314
3.440760722,170,314,314
3.450765628,170,314,314
3.460858049,170,314,314
3.470814763,170,314,314
3.480806166,170,314,314
3.490807958,170,314,314
3.500810936,170,314,314
3.510820584,170,314,314
3.520831976,170,314,314
3.530779585,170,314,314
3.54079966,170,314,314
3.550792303,170,314,314
3.560807351,170,314,314
3.570804051,170,314,314
3.580797534,170,314,314
3.590809608,170,314,314
3.600797589,170,314,314
3.610781494,170,314,314
3.620819054,170,314,314
3.630794913,170,314,314
3.640781976,170,314,314
3.650780067,170,314,314
3.660768789,170,314,314
3.670760065,170,314,314
3.680764022,170,314,314
3.690809968,170,314,314
3.700799941,170,314,314
3.710790325,170,314,314
3.720792475,170,314,314
3.730810885,170,314,314
3.740792091,170,314,314
3.750797625,170,314,314
3.760809384,170,314,314
3.77076739,170,314,314
3.780814738,171,316,316
3.790786475,171,316,316
3.800786324,171,316,316
3.810805369,171,316,316
3.820791649,171,316,316
3.830797762,171,316,316
3.840789796,171,316,316
3.850782785,171,316,316
3.860784471,171,316,316
3.870774636,171,316,316
3.880793723,171,316,316
3.890788101,171,316,316
3.900753094,171,316,316
3.910755799,171,316,316
3.920821669,171,316,316
3.930776868,171,316,316
3.940790717,171,316,316
3.950781113,171,316,316
3.960761862,171,316,316
3.970799616,171,316,316
3.980789264,171,316,316
3.990803745,174,321,321
4.000792964,174,321,321
4.010690421,174,321,321
4.020776454,174,321,321
4.030792029,174,321,321
4.040761155,174,321,321
4.050769054,174,321,321
4.060763906,174,321,321
4.070758046,174,321,321
4.080837277,174,321,321
4.090798501,174,321,321
4.100799023,174,321,321
4.110792771,174,321,321
4.120760769,174,321,321
4.130757184,174,321,321
4.140751484,174,321,321
4.15079402,174,321,321
4.160795367,172,319,319
4.170798993,172,319,319
4.180829452,172,319,319
4.190773808,172,319,319
4.200814573,172,319,319
4.210797792,172,319,319
4.220817835,172,319,319
4.230796789,172,319,319
4.240807702,172,319,319
4.250791862,172,319,319
4.260803547,172,319,319
4.270790918,172,319,319
4.280775657,171,316,316
4.290793186,171,316,316
4.300792063,170,314,314
4.310822314,170,314,314
4.320802541,170,314,314
4.330802928,169,312,312
4.34080873,169,312,312
4.35080469,169,312,312
4.360788677,169,312,312
4.370767872,170,314,314
4.38083228,170,314,314
4.390809841,170,314,314
4.400804495,170,314,314
4.410807862,170,314,314
4.42079921,169,312,312
4.430809326,169,312,312
4.440802182,169,312,312
4.450813381,165,306,306
4.460794009,165,306,306
4.470794698,165,306,306
4.480854448,165,306,306
4.490788419,165,306,306
4.50071668,165,306,306
4.510795281,165,306,306
4.520780292,164,303,303
4.530782893,164,303,303
4.540761452,164,303,303
4.550794759,164,303,303
4.560784325,164,303,303
4.570792507,164,303,303
4.580750736,164,303,303
4.590785602,163,302,302
4.600807938,163,302,302
4.610758871,162,300,300
4.620783634,162,300,300
4.630782124,162,300,300
4.640770566,163,302,302
4.650787632,163,302,302
4.660758919,163,302,302
4.670779156,163,302,302
4.680775576,163,302,302
4.690793172,163,302,302
4.700752784,163,302,302
4.710765089,163,302,302
4.720826322,163,302,302
4.730789828,163,302,302
4.740812037,163,302,302
4.750788049,163,302,302
4.760758587,163,302,302
4.770758051,163,302,302
4.780821771,163,302,302
4.790789158,163,302,302
4.800782208,163,302,302
4.810792875,163,302,302
4.820799321,163,302,302
4.830768621,163,302,302
4.84080255,163,302,302
4.850809825,163,302,302
4.860806207,163,302,302
4.870791207,163,302,302
4.880812237,163,302,302
4.890782968,163,302,302
4.900798988,163,302,302
4.910797348,163,302,302
4.920807613,163,302,302
4.930767571,167,309,309
4.940770763,167,309,309
4.950787479,170,314,314
4.960784515,170,314,314
4.970787889,170,314,314
4.980780219,170,314,314
4.990787504,170,314,314
5.000792127,167,309,309
5.010812353,167,309,309
5.020807882,165,306,306
5.03077378,165,306,306
5.040799514,165,306,306
5.05077785,165,306,306
5.060801335,165,306,306
5.070785658,167,309,309
5.080788107,167,309,309
5.090795026,167,309,309
5.100778284,167,309,309
5.11080097,167,309,309
5.120771697,167,309,309
5.130794365,167,309,309
5.140796139,167,309,309
5.150776387,167,309,309
5.160798056,167,309,309
5.17080956,167,309,309
5.180809308,167,309,309
5.190800525,167,309,309
5.200779744,167,309,309
5.210804988,167,309,309
5.220823245,167,309,309
5.23078566,167,309,309
5.240758742,167,309,309
5.250781935,167,309,309
5.260758832,165,306,306
5.270784174,165,306,306
5.280822635,165,306,306
5.290763413,165,306,306
5.300751414,165,306,306
5.310764553,165,306,306
5.320764605,165,306,306
5.330782433,165,306,306
5.340754155,165,306,306
5.350775159,165,306,306
5.360768852,165,306,306
5.370761898,165,306,306
5.380800355,164,303,303
5.390778166,164,303,303
5.400717865,164,303,303
5.410776494,164,303,303
5.420822288,164,303,303
5.430786202,164,303,303
5.440799323,164,303,303
5.450779044,164,303,303
5.460749517,164,303,303
5.470780157,164,303,303
5.480806138,164,303,303
5.490794498,164,303,303
5.500780195,164,303,303
5.510802683,164,303,303
5.520778961,163,302,302
5.530799058,163,302,302
5.540792747,163,302,302
5.550851372,163,302,302
5.560835349,163,302,302
5.570790188,163,302,302
5.580787011,163,302,302
5.590777562,163,302,302
5.600780227,163,302,302
5.610832204,163,302,302
5.620812734,164,303,303
5.63082081,164,303,303
5.640806451,163,302,302
5.650862319,163,302,302
5.660812838,163,302,302
5.670781826,163,302,302
5.680786572,163,302,302
5.690808546,163,302,302
5.70079645,163,302,302
5.710789994,163,302,302
5.720791874,163,302,302
5.730791402,163,302,302
5.74078145,163,302,302
5.750812996,163,302,302
5.760818237,163,302,302
5.770806731,163,302,302
5.780805878,163,302,302
5.790796104,164,303,303
5.800802271,164,303,303
5.810779898,164,303,303
5.820791146,164,303,303
5.830770504,164,303,303
